Leg Lock Bridge,mid,"Lie on your back and flex the knees with feet flat on the ground. Then bring one knee up toward the chest, at least above the waistline, and hold it in place with both hands.",Press through the heel of the ground-based foot to lift the hips evenly off of the floor until there is a straight line from the shoulders to the hip and knee. Do not let the knee to rotate or fall out to the side during movement.,"Once you achieve full extension of the hip and alignment with the shoulder and knee, slowly lower the hip back to the floor.",Back-lying position with knees flexed and feet flat on the ground,"Active Straight Leg Raise, Inline Lunge",https://cdn.jwplayer.com/previews/AQO8hH8e?exp=1679593533&sig=a4044ac8aca4df1d60b696a51c23cc35
Half Kneeling Rotation with Dowel,easy,"Begin in a half kneeling posture by placing one knee down directly under the hip and the other foot should be in line with the knee, this will create the 90/90 position. Depending on the individual, the width of the front foot can be adjusted for balance. The narrower the foot is in relation to the knee, the greater the challenge. The front foot should feel as light as possible, enough to be able to pick it up and put it down. Throughout the exercises concentrate on staying as tall as possible creating a straight line from the ear, shoulder, hip, and down knee for proper posture alignment.","Slowly rotate the dowel to one side as far as you can. At end range, take a deep breath and return to the start position. Repeat the process on the other side.",NULL,Half Kneeling,Active Straight Leg Raise,https://cdn.jwplayer.com/previews/rNiaqwvH?exp=1679594102&sig=05da17e4252d0b35e88f0473c1d21c44
Assisted Leg Lowering to Bolster,easy,"Lie on your back with your lower legs (close to the ankle) on a foam roll, placing a band around one foot. Using a band, raise the leg (keeping it relaxed) as high as possible without the knee bending. This is a passive hold and should not cause pain or cramping.",Then raise the other leg up to the level of the assisted leg. If you feel you can increase the position of the assisted leg allow it to come higher by pulling on the band.,Lower the leg slowly in a controlled manner while maintaining the toe up position of the leg and foot until you reach the elevated surface. Make sure the low back and pelvis maintain position during the movement. As long as the range of motion is improving without knee bend or toe movement continue to perform the raise and lower of the active leg.,Supine,Active Straight Leg Raise,https://cdn.jwplayer.com/previews/fWdUbYEO?exp=1679595346&sig=c2477fd60ca62497f5f440b7149d8f51
Get-up High Pelvis to Bend with KB,mid,Perform the steps in the Get-up until you reach the high bridge position.,Bring the extended leg underneath you by hinging at your hips. Then place the knee of the moving leg underneath the hip and in line with the base hand. This movement requires intense awareness of both arms. Both arms must remain vertically aligned and support the weight of the kettlebell. The head and neck should also be in a neutral and comfortable position with eyes on the kettlebell.,Reverse the action and return to the high bridge position. Repeat this action for the desired number of repetitions.,Open Half Kneeling,"Active Straight Leg Raise, In line Lunge",https://cdn.jwplayer.com/previews/Bov3NvBk?exp=1679597456&sig=c6ab5392e1b258e18f4598a8f3e83573
Deadlift Double Leg Double Arm with One KB,mid,"Stand with the feet approximately shoulder width apart and the kettlebell in line with the heels of the feet. Begin in a neutral stance position with the ear, shoulder, hip, and knee in proper alignment with the arms resting comfortably in front.","Perform a hip hinge pattern by flexing at the hips while maintaining a neutral spine. Once the hand is near the weights, grasp the handle tightly to promote spinal stability. Engage the hamstrings by slightly raising the hips, so that the knees are vertical. Once the hamstrings feel taught begin to extend the hips forward until proper posture is achieved. Throughout the movement, make sure the head and neck are neutral and there is no rounding of the back.",NULL,Symmetrical Stance,"Active Straight Leg Raise, Deep Squat",https://cdn.jwplayer.com/previews/Cud7FGFi?exp=1679599549&sig=bd31e8742bca627d5841310b04dcd761
Deadlift Single Leg Double Arm with Two KB,difficult,"With a stool or platform in place, stand over it with the feet approximately shoulder width apart. Begin in a neutral stance position with the ear, shoulder, hip, and knee in proper alignment with the arms resting comfortably in front.","Begin to perform a hip hinge pattern by flexing at the hips while maintaining a neutral spine. Once both hands are near the weights, grasp both of them tightly to promote spinal stability. Engage the hamstrings by slightly raising the hips, so that the knees are vertical. Once the hamstrings feel taught, begin to extend the hips forward until proper posture is achieved. Throughout the movement, make sure the head and neck are neutral and there is no rounding of the back.",NULL,Single Leg,"Active Straight Leg Raise, Deep Squat, Hurdle Step",https://cdn.jwplayer.com/previews/6YSxSyMY?exp=1679600767&sig=82a541b6a92be5df5cae8e0b725299b3
Hip Hinge Single Leg with Dowel,easy,Stand with the feet shoulder width apart and a dowel running along the spine. Hands should be in reciprocal position.,"Flex forward on one hip with slight knee bend. The opposite hip is extended and foot backward. The dowel remains in contact with the head, thoracic spine, and sacrum.  Alternate hand and foot positions between sets.  A stretch should be felt in the hamstring.",NULL,Single Leg,"Active Straight Leg Raise, In line Lunge",https://cdn.jwplayer.com/previews/a0fe4wy5?exp=1679610482&sig=0f87ddbca56985988a95934839b4221d
Dorsiflexion from Half Kneeling with Dowel,mid,Begin in the narrow half kneeling position with a dowel in front of the 4th toe.,"While staying tall, take the knee outside of the dowel and drive it forward. The heel of the front foot should maintain contact with the floor. Find the end range of motion and cycle through a breath.",Return to the start position and repeat.,Half Kneeling,"Deep Squat, Hurdle Step, In line Lunge",https://cdn.jwplayer.com/previews/GkgUHAH3?exp=1679612838&sig=90990e1dbf269199046136e05023b65c
Quadruped T-Spine Rotation,mid,"Get into a quadruped position with the knees under the hips and the hands under the shoulders with the spine in a neutral position. For the first position, place one hand on the upper back or back of the neck. Do not pull down or put pressure into neck with hand.","Begin to rotate leading with the eyes, head and shoulder as far as possible down toward the hand. Then reverse the motion leading with the eyes, head and shoulder rotating upwards as far as possible. Maintain position of opposite arm with elbow extended while moving in both directions and keep the lumbar, thoracic and cervical aligned during rotation. For second position, change the hand position and place it on the low back with the palm facing up. Repeat the exercise with the hand in this position.",Bring the hand back to the start position under the shoulder returning to the full quadruped position after the exercise.,Quadruped,"Deep Squat, Shoulder Mobility",https://cdn.jwplayer.com/previews/D1lz6Oxd?exp=1679613169&sig=de2c2bb3c687f78f7d608e8f0a5e5ee9
Deep Squat with Valgus Correction,easy,Place the point of attachments at knee height and spread the handles about the size of a door apart from each other. Then give the band a twist so that the tubing will cross in front of you. Step inside and face the point of attachment. Place the foam handles at the outside of the knees. Place your feet about shoulder width apart with toes out slightly. Cross arms across chest and maintain an upright posture.,"Sniff air into a tight abdomen and descend into a squat while pushing your knees out but do not allow your feet to rotate out. As you squat down, keep your heels down and go as deep as you can go comfortably.",With a grunt or forced exhale drive the feet into the ground to extend the hips and knees to return to the start position. Repeat for the desired number of repetitions.,Symmetrical Stance,"Deep Squat, Rotary Stability",https://cdn.jwplayer.com/previews/Nv5XCUp3?exp=1679613997&sig=e3f5b5e9839869585931514548bb33ad
